SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.5460,1662465643.5460339,0.02655198238419901,0.4717270554662805,0.7084394657968835,-0.29876708984375,-0.2325439453125,-0.9718017578125,64.39872741699219,-97.08476257324219,-74.81448364257812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.5630,1662465643.563055,0.051202201433972444,0.5066080741597023,0.6834797874284428,-0.3050689697265625,-0.2124481201171875,-0.9879150390625,64.13836669921875,-96.90885925292969,-74.98997497558594,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.5630,1662465643.563055,0.051202201433972444,0.5066080741597023,0.6834797874284428,-0.3050689697265625,-0.2124481201171875,-0.9879150390625,64.13836669921875,-96.90885925292969,-74.98997497558594,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.5790,1662465643.579272,0.11498011585140805,0.523739656819964,0.6508446124822849,-0.3084259033203125,-0.195892333984375,-1.0000762939453125,63.88978576660156,-96.60748291015625,-74.79670715332031,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.5790,1662465643.579272,0.11498011585140805,0.523739656819964,0.6508446124822849,-0.3084259033203125,-0.195892333984375,-1.0000762939453125,63.88978576660156,-96.60748291015625,-74.79670715332031,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.5960,1662465643.596252,0.18400126182299167,0.5068520197155536,0.6168994285959168,-0.3061370849609375,-0.186798095703125,-1.0074462890625,63.77183532714844,-96.626220703125,-74.85978698730469,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.5960,1662465643.596252,0.18400126182299167,0.5068520197155536,0.6168994285959168,-0.3061370849609375,-0.186798095703125,-1.0074462890625,63.77183532714844,-96.626220703125,-74.85978698730469,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6130,1662465643.6126518,0.2612901913987263,0.48321513346055533,0.5797752293163213,-0.3051300048828125,-0.17919921875,-1.009246826171875,63.485076904296875,-96.6395263671875,-74.8082275390625,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6130,1662465643.6126518,0.2612901913987263,0.48321513346055533,0.5797752293163213,-0.3051300048828125,-0.17919921875,-1.009246826171875,63.485076904296875,-96.6395263671875,-74.8082275390625,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6290,1662465643.629019,0.3439919958900469,0.40831399411818575,0.5497736543721427,-0.3048553466796875,-0.167938232421875,-0.9954376220703125,63.485076904296875,-96.6395263671875,-74.8082275390625,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6290,1662465643.629019,0.3439919958900469,0.40831399411818575,0.5497736543721427,-0.3048553466796875,-0.167938232421875,-0.9954376220703125,63.485076904296875,-96.6395263671875,-74.8082275390625,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6460,1662465643.6458,0.43671634082777183,0.30472874562289975,0.5318175570383924,-0.313323974609375,-0.1544342041015625,-0.9907989501953125,63.24018859863281,-96.51414489746094,-74.20315551757812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6460,1662465643.6458,0.43671634082777183,0.30472874562289975,0.5318175570383924,-0.313323974609375,-0.1544342041015625,-0.9907989501953125,63.24018859863281,-96.51414489746094,-74.20315551757812,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6630,1662465643.662816,0.511739985580285,0.179273618255883,0.5056362866779324,-0.3360137939453125,-0.13861083984375,-0.9779815673828125,63.03300476074219,-96.63958740234375,-73.90803527832031,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6630,1662465643.662816,0.511739985580285,0.179273618255883,0.5056362866779324,-0.3360137939453125,-0.13861083984375,-0.9779815673828125,63.03300476074219,-96.63958740234375,-73.90803527832031,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6790,1662465643.679346,0.5282545138159754,0.04470249047752505,0.4609178172338669,-0.3680572509765625,-0.1336517333984375,-0.9642333984375,62.476104736328125,-96.61366271972656,-73.89897155761719,,,,,,,,,,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:43.6790,1662465643.679346,0.5282545138159754,0.04470249047752505,0.4609178172338669,-0.3680572509765625,-0.1336517333984375,-0.9642333984375,62.476104736328125,-96.61366271972656,-73.89897155761719,,,,,,,,,,
